Name,Team,Nationality,Position,Age,Matches,Goals
Lucas Moura,Tottenham,BRA,"FW,MF",27,30,3
Ben Davies,Tottenham,WAL,DF,27,20,0
Matt Doherty,Tottenham,IRL,DF,28,17,0
Steven Bergwijn,Tottenham,NED,"FW,MF",22,21,1
Giovani Lo Celso,Tottenham,ARG,MF,24,18,1
Gareth Bale,Tottenham,WAL,FW,31,20,11
Harry Winks,Tottenham,ENG,MF,24,15,0
Joe Rodon,Tottenham,WAL,DF,22,12,0
Dele Alli,Tottenham,ENG,MF,24,15,0
Japhet Tanganga,Tottenham,ENG,DF,21,6,0
Érik Lamela,Tottenham,ARG,"FW,MF",28,23,1
Carlos Vinícius,Tottenham,BRA,FW,25,9,1
Dane Scarlett,Tottenham,ENG,FW,16,1,0
Bernd Leno,Arsenal,GER,GK,28,35,0
Bukayo Saka,Arsenal,ENG,"FW,DF",18,32,5
Granit Xhaka,Arsenal,SUI,"MF,DF",27,31,1
Rob Holding,Arsenal,ENG,DF,24,30,0
Pierre-Emerick Aubameyang,Arsenal,GAB,FW,31,29,10
Kieran Tierney,Arsenal,SCO,DF,23,27,1
Héctor Bellerín,Arsenal,ESP,DF,25,25,1
Gabriel Dos Santos,Arsenal,BRA,DF,22,23,2
Alexandre Lacazette,Arsenal,FRA,FW,29,31,13
Thomas Partey,Arsenal,GHA,MF,27,24,0
Emile Smith-Rowe,Arsenal,ENG,"MF,FW",20,20,2
Dani Ceballos,Arsenal,ESP,MF,23,25,0
Mohamed Elneny,Arsenal,EGY,MF,28,23,1
David Luiz,Arsenal,BRA,DF,33,20,1
Nicolas Pépé,Arsenal,CIV,FW,25,29,10
Willian,Arsenal,BRA,"FW,MF",31,25,1
Pablo Marí,Arsenal,ESP,DF,26,10,0
Martin Ødegaard,Arsenal,NOR,MF,21,14,1
Calum Chambers,Arsenal,ENG,DF,25,10,0
Cédric Soares,Arsenal,POR,DF,28,10,0
Martinelli,Arsenal,BRA,FW,19,14,2
Ainsley Maitland-Niles,Arsenal,ENG,DF,22,11,0
Eddie Nketiah,Arsenal,ENG,FW,21,17,2
Mathew Ryan,Arsenal,AUS,GK,28,3,0
Joe Willock,Arsenal,ENG,MF,20,7,0
Sead Kolašinac,Arsenal,BIH,DF,27,1,0
Reiss Nelson,Arsenal,ENG,FW,20,2,0
Shkodran Mustafi,Arsenal,GER,DF,28,3,0
Rúnar Alex Rúnarsson,Arsenal,ISL,GK,25,1,0
Stuart Dallas,Leeds,NIR,"DF,MF",29,38,8
Luke Ayling,Leeds,ENG,DF,28,38,0
Patrick Bamford,Leeds,ENG,FW,26,38,17
Illan Meslier,Leeds,FRA,GK,20,35,0
Jack Harrison,Leeds,ENG,MF,23,36,8
Ezgjan Alioski,Leeds,MKD,DF,28,36,2
Kalvin Phillips,Leeds,ENG,MF,24,29,1
Mateusz Klich,Leeds,POL,MF,30,35,4
Raphael Dias Belloli,Leeds,BRA,MF,23,30,6
Liam Cooper,Leeds,SCO,DF,28,25,1
Pascal Struijk,Leeds,NED,"DF,MF",20,27,1
Tyler Roberts,Leeds,WAL,"MF,FW",21,27,1
Rodrigo,Leeds,ESP,"MF,FW",29,26,7
Diego Llorente,Leeds,ESP,DF,26,15,1
Hélder Costa,Leeds,POR,"MF,FW",26,22,3
Robin Koch,Leeds,GER,"DF,MF",24,17,0
Jamie Shackleton,Leeds,ENG,"MF,DF",20,13,0
Pablo Hernández,Leeds,ESP,MF,35,16,0
Kiko Casilla,Leeds,ESP,GK,33,3,0
Gaetano Berardi,Leeds,SUI,DF,31,2,0
Ian Carlo Poveda,Leeds,ENG,"MF,DF",20,14,0
Niall Huggins,Leeds,WAL,DF,19,1,0
Leif Davis,Leeds,ENG,DF,20,2,0
Michael Keane,Everton,ENG,DF,27,35,3
Richarlison,Everton,BRA,FW,23,34,7
Dominic Calvert-Lewin,Everton,ENG,FW,23,33,16
Jordan Pickford,Everton,ENG,GK,26,31,0
Lucas Digne,Everton,FRA,DF,27,30,0
Ben Godfrey,Everton,ENG,DF,22,31,0
Abdoulaye Doucouré,Everton,FRA,MF,27,29,2
Mason Holgate,Everton,ENG,DF,23,28,1
Gylfi Sigurðsson,Everton,ISL,MF,30,36,6
Allan,Everton,BRA,MF,29,24,0
Yerry Mina,Everton,COL,DF,25,24,2
James Rodríguez,Everton,COL,"FW,MF",29,23,6
Séamus Coleman,Everton,IRL,"DF,MF",31,25,0
André Gomes,Everton,POR,MF,27,28,0
Alex Iwobi,Everton,NGA,"FW,DF",24,30,1
Tom Davies,Everton,ENG,MF,22,25,0
Robin Olsen,Everton,SWE,GK,30,7,0
Bernard,Everton,BRA,"MF,FW",27,12,1
Fabian Delph,Everton,ENG,"MF,DF",30,8,0
Anthony Gordon,Everton,ENG,"FW,MF",19,3,0
Niels Nkounkou,Everton,FRA,"DF,FW",19,2,0
Jonjoe Kenny,Everton,ENG,DF,23,4,0
Joshua King,Everton,NOR,"MF,FW",28,11,0
Cenk Tosun,Everton,TUR,FW,29,5,0
João Virgínia,Everton,POR,GK,20,1,0
Moise Kean,Everton,ITA,FW,20,2,0
Theo Walcott,Everton,ENG,FW,31,1,0
Jean-Philippe Gbamin,Everton,CIV,MF,24,1,0
Nathan Broadhead,Everton,WAL,MF,22,1,0
Emiliano Martínez,Aston Villa,ARG,GK,27,38,0
Matt Targett,Aston Villa,ENG,DF,24,38,0
John McGinn,Aston Villa,SCO,MF,25,37,3
Ollie Watkins,Aston Villa,ENG,FW,24,37,14
Tyrone Mings,Aston Villa,ENG,DF,27,36,2
Ezri Konsa,Aston Villa,ENG,DF,22,36,2
Douglas Luiz,Aston Villa,BRA,MF,22,33,0
Bertrand Traoré,Aston Villa,BFA,FW,24,36,7
Matty Cash,Aston Villa,ENG,DF,22,28,0
Jack Grealish,Aston Villa,ENG,"FW,MF",24,26,6
Ross Barkley,Aston Villa,ENG,MF,26,24,3
Anwar El Ghazi,Aston Villa,NED,FW,25,28,10
Trézéguet,Aston Villa,EGY,FW,25,21,2
Marvelous Nakamba,Aston Villa,ZIM,MF,26,13,0
Ahmed Elmohamady,Aston Villa,EGY,DF,32,14,0
Kortney Hause,Aston Villa,ENG,DF,25,7,1
Jacob Ramsey,Aston Villa,ENG,MF,19,22,0
Morgan Sanson,Aston Villa,FRA,MF,25,9,0
Conor Hourihane,Aston Villa,IRL,MF,29,4,1
Keinan Davis,Aston Villa,ENG,"FW,MF",22,15,1
Carney Chukwuemeka,Aston Villa,ENG,"FW,MF",16,2,0
Wesley Moraes,Aston Villa,BRA,"MF,FW",23,3,0
Neil Taylor,Aston Villa,WAL,DF,31,1,0
Jaden Philogene Bidace,Aston Villa,ENG,FW,18,1,0
Jonjo Shelvey,Newcastle,ENG,MF,28,30,1
Miguel Almirón,Newcastle,PAR,"MF,FW",26,34,4
Karl Darlow,Newcastle,ENG,GK,29,25,0
Federico Fernández,Newcastle,ARG,DF,31,24,0
Callum Wilson,Newcastle,ENG,FW,28,26,12
Joelinton,Newcastle,BRA,"FW,MF",23,31,4
Isaac Hayden,Newcastle,ENG,"MF,DF",25,24,0
Ciaran Clark,Newcastle,IRL,DF,30,22,1
Jamal Lewis,Newcastle,NIR,DF,22,24,0
Jamaal Lascelles,Newcastle,ENG,DF,26,19,2
Allan Saint-Maximin,Newcastle,FRA,"FW,MF",23,25,3
Jacob Murphy,Newcastle,ENG,"DF,MF",25,26,2
Jeff Hendrick,Newcastle,IRL,MF,28,22,2
Sean Longstaff,Newcastle,ENG,MF,22,22,0
Matt Ritchie,Newcastle,SCO,"DF,MF",30,18,0
Emil Krafth,Newcastle,SWE,DF,25,16,1
Paul Dummett,Newcastle,WAL,DF,28,15,1
Fabian Schär,Newcastle,SUI,DF,28,18,1
Martin Dúbravka,Newcastle,SVK,GK,31,13,0
Joe Willock,Newcastle,ENG,MF,20,14,8
Javier Manquillo,Newcastle,ESP,DF,26,13,0
Ryan Fraser,Newcastle,SCO,"FW,MF",26,18,0
DeAndre Yedlin,Newcastle,USA,DF,27,6,0
Dwight Gayle,Newcastle,ENG,"FW,MF",29,18,1
Andy Carroll,Newcastle,ENG,FW,31,18,1
Matthew Longstaff,Newcastle,ENG,MF,20,5,0
Elliot Anderson,Newcastle,SCO,MF,17,1,0
Rui Patrício,Wolves,POR,GK,32,37,0
Conor Coady,Wolves,ENG,DF,27,37,1
Nélson Semedo,Wolves,POR,DF,26,34,1
Rúben Neves,Wolves,POR,MF,23,36,5
Pedro Neto,Wolves,POR,"FW,MF",20,31,5
Adama Traoré,Wolves,ESP,FW,24,37,2
João Moutinho,Wolves,POR,MF,33,33,1
Leander Dendoncker,Wolves,BEL,"MF,DF",25,33,1
Romain Saïss,Wolves,MAR,DF,30,27,3
Daniel Podence,Wolves,POR,"MF,FW",24,24,3
Willy Boly,Wolves,CIV,DF,29,21,1
Rayan Aït Nouri,Wolves,FRA,DF,19,21,1
Max Kilman,Wolves,ENG,DF,23,18,0
Willian José,Wolves,BRA,FW,28,17,1
Fábio Silva,Wolves,POR,FW,18,32,4
Raúl Jiménez,Wolves,MEX,FW,29,10,4
Fernando Marçal,Wolves,BRA,DF,31,13,0
Jonny Castro,Wolves,ESP,DF,26,7,0
Ki-Jana Hoever,Wolves,NED,DF,18,12,0
Vitinha,Wolves,POR,MF,20,19,0
Morgan Gibbs-White,Wolves,ENG,"FW,MF",20,11,1
Owen Otasowie,Wolves,USA,"MF,FW",19,6,0
Rúben Vinagre,Wolves,POR,DF,21,2,0
John Ruddy,Wolves,ENG,GK,33,2,0
Patrick Cutrone,Wolves,ITA,"FW,MF",22,2,0
Oskar Buur,Wolves,DEN,DF,22,1,0
Theo Corbeanu,Wolves,CAN,FW,18,1,0
Vicente Guaita,Crystal Palace,ESP,GK,33,37,0
Cheikhou Kouyaté,Crystal Palace,SEN,DF,30,36,1
Wilfried Zaha,Crystal Palace,CIV,FW,27,30,11
Eberechi Eze,Crystal Palace,ENG,MF,22,34,4
Luka Milivojević,Crystal Palace,SRB,MF,29,31,1
Andros Townsend,Crystal Palace,ENG,"MF,FW",29,34,1
Joel Ward,Crystal Palace,ENG,DF,30,26,0
Jordan Ayew,Crystal Palace,GHA,"FW,MF",28,33,1
Christian Benteke,Crystal Palace,BEL,FW,29,30,10
Gary Cahill,Crystal Palace,ENG,DF,34,20,1
Patrick van Aanholt,Crystal Palace,NED,DF,29,22,0
Jaïro Riedewald,Crystal Palace,NED,MF,23,33,2
Tyrick Mitchell,Crystal Palace,ENG,DF,20,19,1
James McArthur,Crystal Palace,SCO,MF,32,18,0
Jeffrey Schlupp,Crystal Palace,GHA,MF,27,27,2
Scott Dann,Crystal Palace,ENG,DF,33,15,1
Nathaniel Clyne,Crystal Palace,ENG,DF,29,13,0
James McCarthy,Crystal Palace,IRL,MF,29,16,0
Michy Batshuayi,Crystal Palace,BEL,FW,26,18,2
James Tomkins,Crystal Palace,ENG,DF,31,8,0
Mamadou Sakho,Crystal Palace,FRA,DF,30,4,0
Jean-Philippe Mateta,Crystal Palace,FRA,FW,23,7,1
Jack Butland,Crystal Palace,ENG,GK,27,1,0
Martin Kelly,Crystal Palace,ENG,DF,30,1,0
James Ward-Prowse,Southampton,ENG,MF,25,38,8
Jan Bednarek,Southampton,POL,DF,24,36,1
Stuart Armstrong,Southampton,SCO,MF,28,33,4
Alex McCarthy,Southampton,ENG,GK,30,30,0
Che Adams,Southampton,SCO,FW,24,36,9
Kyle Walker-Peters,Southampton,ENG,DF,23,30,0
Ryan Bertrand,Southampton,ENG,DF,30,29,0
Jannik Vestergaard,Southampton,DEN,DF,27,30,3
Danny Ings,Southampton,ENG,FW,28,29,12
Oriol Romeu,Southampton,ESP,MF,28,21,1
Theo Walcott,Southampton,ENG,"MF,FW",31,21,3
Nathan Redmond,Southampton,ENG,"MF,FW",26,29,2
Jack Stephens,Southampton,ENG,DF,26,18,0
Moussa Djenepo,Southampton,MLI,MF,22,27,1
Ibrahima Diallo,Southampton,FRA,MF,21,22,0
Takumi Minamino,Southampton,JPN,"MF,FW",25,10,2
Mohammed Salisu,Southampton,GHA,DF,21,12,0
Fraser Forster,Southampton,ENG,GK,32,8,0
Nathan Tella,Southampton,ENG,"FW,MF",21,18,1
William Smallbone,Southampton,IRL,MF,20,3,0
Shane Long,Southampton,IRL,"FW,MF",33,11,0
Yan Valery,Southampton,FRA,"DF,MF",21,3,0
Kayne Ramsey,Southampton,ENG,DF,19,1,0
Jake Vokins,Southampton,ENG,DF,20,1,0
Alexandre Jankewitz,Southampton,SUI,MF,18,2,0
Dan Nlundulu,Southampton,ENG,FW,21,13,0
Michael Obafemi,Southampton,IRL,FW,20,4,0
Caleb Watts,Southampton,AUS,"MF,FW",18,3,0
Allan Tchaptchet,Southampton,FRA,DF,18,1,0
Ben White,Brighton,ENG,"DF,MF",22,36,0
Yves Bissouma,Brighton,MLI,MF,23,36,1
Lewis Dunk,Brighton,ENG,DF,28,33,5
Leandro Trossard,Brighton,BEL,"FW,MF",25,35,5
Adam Webster,Brighton,ENG,DF,25,29,1
Neal Maupay,Brighton,FRA,"FW,MF",23,33,8
Pascal Groß,Brighton,GER,"MF,DF",29,34,3
Robert Sánchez,Brighton,ESP,GK,22,27,0
Joël Veltman,Brighton,NED,DF,28,28,1
Dan Burn,Brighton,ENG,DF,28,27,1
Solly March,Brighton,ENG,DF,26,21,2
Danny Welbeck,Brighton,ENG,FW,29,24,6
Adam Lallana,Brighton,ENG,"MF,FW",32,30,1
Alexis Mac Allister,Brighton,ARG,"MF,FW",21,21,1
Mathew Ryan,Brighton,AUS,GK,28,11,0
Tariq Lamptey,Brighton,ENG,DF,19,11,1
Steven Alzate,Brighton,COL,"MF,DF",21,15,1
Aaron Connolly,Brighton,IRL,FW,20,17,2
Jakub Moder,Brighton,POL,"DF,MF",21,12,0
Alireza Jahanbakhsh,Brighton,IRN,"FW,MF",26,21,0
Davy Pröpper,Brighton,NED,MF,28,7,0
Bernardo,Brighton,BRA,"DF,MF",25,3,0
Percy Tau,Brighton,RSA,"FW,MF",26,3,0
Andi Zeqiri,Brighton,SUI,"FW,DF",21,9,0
José Izquierdo,Brighton,COL,"DF,MF",28,1,0
Reda Khadra,Brighton,GER,FW,19,1,0
Jayson Molumby,Brighton,IRL,MF,20,1,0
Ashley Westwood,Burnley,ENG,MF,30,38,3
James Tarkowski,Burnley,ENG,DF,27,36,1
Dwight McNeil,Burnley,ENG,MF,20,36,2
Matthew Lowton,Burnley,ENG,DF,31,34,1
Nick Pope,Burnley,ENG,GK,28,32,0
